Player,Tackles,Inter,Clear,Blocks,SpG,KeyP,Drb,Fouled,PS%,Crosses,LongB,ThrB,CB,CF,CM,DM,AM,WM,FB,WF
Aleksandar Mitrovic Fulham,0.1707317073170731,0.04,0.1111111111111111,0.0909090909090909,0.8541666666666666,0.2058823529411764,0.3142857142857143,0.4594594594594594,0.3137254901960784,0.0,0.141025641025641,0.0769230769230769,0.02,0.94,0.07,0.01,0.12,0.01,0.0,0.1
Kaoru Mitoma Brighton,0.3414634146341463,0.16,0.0123456790123456,0.0,0.25,0.2941176470588235,0.4857142857142856,0.1891891891891891,0.7980392156862743,0.0,0.0897435897435897,0.0769230769230769,0.0,0.15,0.18,0.06,0.23,0.74,0.15,0.16
Ethan Pinnock Brentford,0.3170731707317074,0.4,1.0,0.4545454545454545,0.1041666666666666,0.088235294117647,0.0285714285714285,0.081081081081081,0.6372549019607843,0.0263157894736842,0.1923076923076923,0.0,1.0,0.02,0.02,0.02,0.0,0.03,0.18,0.0
Thiago Silva Chelsea,0.3902439024390244,0.5599999999999999,0.5185185185185186,0.4545454545454545,0.1041666666666666,0.0588235294117647,0.0285714285714285,0.1351351351351351,0.9078431372549018,0.0,0.6153846153846154,0.0,1.0,0.0,0.01,0.06,0.0,0.0,0.07,0.0
Miguel Almirón Newcastle,0.3658536585365854,0.12,0.0493827160493827,0.0454545454545454,0.4166666666666667,0.2058823529411764,0.2857142857142857,0.2972972972972972,0.7921568627450979,0.0263157894736842,0.0641025641025641,0.0,0.0,0.8,0.1,0.01,0.85,0.0,0.0,0.97
João Palhinha Fulham,1.0,0.5599999999999999,0.2469135802469136,0.0909090909090909,0.25,0.0294117647058823,0.0857142857142857,0.4054054054054054,0.7352941176470589,0.0,0.2820512820512821,0.0,0.18,0.02,0.06,0.87,0.01,0.06,0.04,0.0
Ilkay Gündogan Man City,0.2439024390243902,0.24,0.0493827160493827,0.0454545454545454,0.3541666666666667,0.3823529411764706,0.1142857142857142,0.2162162162162162,0.8313725490196078,0.1052631578947368,0.2051282051282051,0.2307692307692307,0.0,0.16,0.9,0.01,0.04,0.15,0.01,0.03
Diogo Dalot Man Utd,0.5365853658536587,0.5599999999999999,0.271604938271605,0.1818181818181818,0.1875,0.4117647058823529,0.2571428571428571,0.054054054054054,0.6725490196078432,0.1842105263157894,0.3076923076923077,0.0,0.1,0.01,0.08,0.1,0.0,0.96,0.98,0.0
Christian Nørgaard Brentford,0.5609756097560976,0.6400000000000001,0.2345679012345679,0.1818181818181818,0.1666666666666666,0.1764705882352941,0.0857142857142857,0.2432432432432432,0.6196078431372549,0.0263157894736842,0.1794871794871795,0.0769230769230769,0.69,0.0,0.0,0.85,0.0,0.04,0.09,0.0
Rúben Neves Wolves,0.5853658536585367,0.6000000000000001,0.308641975308642,0.3181818181818182,0.4166666666666667,0.2352941176470588,0.1714285714285714,0.1351351351351351,0.7882352941176469,0.0526315789473684,0.8461538461538463,0.0,0.27,0.05,0.1,0.72,0.01,0.06,0.09,0.02
Leandro Trossard Brighton,0.1463414634146341,0.16,0.0,0.0,0.5,0.4117647058823529,0.2571428571428571,0.2162162162162162,0.5882352941176472,0.1578947368421052,0.2051282051282051,0.1538461538461538,0.0,0.96,0.8,0.0,0.02,0.95,0.02,0.01
Riyad Mahrez Man City,0.1951219512195122,0.12,0.0123456790123456,0.0,0.3333333333333333,0.4705882352941177,0.2285714285714285,0.4054054054054054,0.8627450980392157,0.2368421052631578,0.1794871794871795,0.1538461538461538,0.01,0.81,0.21,0.0,0.93,0.0,0.01,0.97
Marcus Tavernier Bournemouth,0.3414634146341463,0.12,0.0987654320987654,0.0454545454545454,0.3333333333333333,0.2647058823529412,0.5428571428571428,0.4054054054054054,0.6294117647058823,0.2631578947368421,0.1025641025641025,0.0,0.0,0.19,0.75,0.0,0.07,0.89,0.17,0.06
Oleksandr Zinchenko Arsenal,0.3902439024390244,0.32,0.1234567901234568,0.0,0.2291666666666666,0.2352941176470588,0.1714285714285714,0.1351351351351351,0.8490196078431371,0.0789473684210526,0.3076923076923077,0.0,0.04,0.01,0.81,0.03,0.01,0.87,0.8,0.01
Son Heung-Min Tottenham,0.1707317073170731,0.12,0.0123456790123456,0.0454545454545454,0.4791666666666666,0.5294117647058824,0.2285714285714285,0.2702702702702702,0.7235294117647058,0.2631578947368421,0.0641025641025641,0.0769230769230769,0.0,0.96,0.72,0.0,0.03,0.98,0.03,0.01
Virgil van Dijk Liverpool,0.2195121951219512,0.4,0.4938271604938272,0.2272727272727272,0.2083333333333333,0.0588235294117647,0.0285714285714285,0.027027027027027,0.884313725490196,0.0,0.6153846153846154,0.0,1.0,0.01,0.01,0.09,0.02,0.01,0.09,0.0
Trent Alexander-Arnold Liverpool,0.3658536585365854,0.48,0.1111111111111111,0.0909090909090909,0.1875,0.5294117647058824,0.1714285714285714,0.027027027027027,0.6450980392156862,0.4999999999999999,0.6025641025641026,0.1538461538461538,0.04,0.04,0.24,0.13,0.03,0.91,0.93,0.0
