Player,Player.1,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating,Apps,Mins
"33Ben MeeBrentford, 33, D(CL)","Ben Mee Brentford, 33, D(CL)",1,0.2,45.4,75.6,-,3.1,-,7.01,27,2380.0
"34Bernd LenoFulham, 31, GK","Bernd Leno Fulham, 31, GK",-,-,33.0,75.2,-,4.9,-,7.0,26,2340.0
"35Marcus RashfordMan Utd, 25, AM(CLR),FW","Marcus Rashford Man Utd, 25, AM(CLR),FW",3,0.7,21.4,76.6,0.2,0.7,0.1,7.0,25(2),2225.0
"36Ilkay GündoganMan City, 32, M(C)","Ilkay Gündogan Man City, 32, M(C)",3,1.3,42.3,86.8,0.4,1.6,0.3,7.0,21(4),1849.0
"37Diogo DalotMan Utd, 24, D(LR),M(R)","Diogo Dalot Man Utd, 24, D(LR),M(R)",2,1.4,45.9,78.7,0.7,2.4,-,7.0,18(1),1612.0
"38Christian NørgaardBrentford, 29, D(C),DMC","Christian Nørgaard Brentford, 29, D(C),DMC",3,0.6,37.4,76.0,0.1,1.4,0.1,7.0,17(1),1479.0
"39Moisés CaicedoBrighton, 21, DMC","Moisés Caicedo Brighton, 21, DMC",1,1.2,60.8,88.8,0.2,2.6,0.1,6.99,24(1),2181.0
"40Rúben NevesWolves, 26, DMC","Rúben Neves Wolves, 26, DMC",-,0.8,62.0,84.6,0.2,6.6,-,6.99,28,2484.0
"41Granit XhakaArsenal, 30, D(L),M(C)","Granit Xhaka Arsenal, 30, D(L),M(C)",5,1.4,45.4,86.6,0.1,2.1,0.1,6.99,28(1),2386.0
"42Leandro TrossardBrighton, 28, M(CLR),FW","Leandro Trossard Brighton, 28, M(CLR),FW",2,1.4,29.5,74.4,0.6,1.6,0.2,6.99,16,1326.0
"43Riyad MahrezMan City, 32, AM(CLR),FW","Riyad Mahrez Man City, 32, AM(CLR),FW",5,1.6,31.5,88.4,0.9,1.4,0.2,6.98,13(7),1154.0
"44Declan RiceWest Ham, 24, D(C),DMC","Declan Rice West Ham, 24, D(C),DMC",2,1.2,58.8,88.9,0.3,4.6,-,6.98,27,2430.0
"45Marcus TavernierBournemouth, 24, M(CLR)","Marcus Tavernier Bournemouth, 24, M(CLR)",4,0.9,24.8,76.5,1,0.8,-,6.97,16(2),1418.0
"46James Ward-ProwseSouthampton, 28, M(CR)","James Ward-Prowse Southampton, 28, M(CR)",2,2.2,53.2,84.8,2,2.0,-,6.97,29,2610.0
"47Pascal GroßBrighton, 31, D(R),M(CR),FW","Pascal Groß Brighton, 31, D(R),M(CR),FW",4,2.2,53.4,84.8,1.4,1.7,0.2,6.96,26,2277.0
"48Oleksandr ZinchenkoArsenal, 26, D(L),M(CLR)","Oleksandr Zinchenko Arsenal, 26, D(L),M(CLR)",2,0.8,65.2,87.7,0.3,2.4,-,6.95,21(1),1751.0
"49James TarkowskiEverton, 30, D(C)","James Tarkowski Everton, 30, D(C)",1,0.4,45.7,82.1,-,3.4,0.1,6.94,29,2610.0
"50Son Heung-MinTottenham, 30, M(CLR),FW","Son Heung-Min Tottenham, 30, M(CLR),FW",4,1.8,21.4,81.3,1,0.5,0.1,6.94,24(3),2114.0
"51Kenny TeteFulham, 27, D(CR),M(R)","Kenny Tete Fulham, 27, D(CR),M(R)",4,0.8,36.0,75.9,0.8,1.2,-,6.94,21(1),1855.0
"52Darwin NúñezLiverpool, 23, AM(CL),FW","Darwin Núñez Liverpool, 23, AM(CL),FW",3,1.1,13.3,67.0,-,0.6,-,6.94,16(5),1374.0
"53AlissonLiverpool, 30, GK","Alisson Liverpool, 30, GK",1,-,32.7,83.9,-,4.3,-,6.93,27,2430.0
"54Gabriel MagalhãesArsenal, 25, D(C)","Gabriel Magalhães Arsenal, 25, D(C)",-,0.1,64.0,89.8,-,2.2,-,6.91,29,2606.0
"55Virgil van DijkLiverpool, 31, D(C)","Virgil van Dijk Liverpool, 31, D(C)",-,0.2,77.0,89.5,-,4.8,-,6.91,23,2026.0
"56Bernardo SilvaMan City, 28, M(CLR),FW","Bernardo Silva Man City, 28, M(CLR),FW",5,1,44.2,89.0,0.4,2.1,0.1,6.91,20(6),1792.0
"57Trent Alexander-ArnoldLiverpool, 24, D(R),M(R)","Trent Alexander-Arnold Liverpool, 24, D(R),M(R)",2,1.8,55.8,77.3,1.9,4.7,0.2,6.91,24(3),2032.0
"58Ollie WatkinsAston Villa, 27, AM(LR),FW","Ollie Watkins Aston Villa, 27, AM(LR),FW",5,0.9,15.6,70.1,0.1,0.1,-,6.9,26(1),2239.0
"59Bryan MbeumoBrentford, 23, AM(LR),FW","Bryan Mbeumo Brentford, 23, AM(LR),FW",5,1.3,20.9,73.8,1.1,0.8,0.1,6.9,28,2195.0
"60Emiliano MartínezAston Villa, 30, GK","Emiliano Martínez Aston Villa, 30, GK",-,0.1,33.3,72.5,-,6.7,-,6.89,26,2285.0
"61Luke ShawMan Utd, 27, D(CL),M(L)","Luke Shaw Man Utd, 27, D(CL),M(L)",2,1.3,55.7,83.4,1,1.9,-,6.89,22(1),1935.0
"62Roberto FirminoLiverpool, 31, M(CLR),FW","Roberto Firmino Liverpool, 31, M(CLR),FW",4,1,23.8,80.0,0.1,0.4,0.2,6.89,11(9),1053.0
"63Sèrge AurierNottingham Forest, 30, D(CLR),M(R)","Sèrge Aurier Nottingham Forest, 30, D(CLR),M(R)",-,0.6,33.2,73.7,0.4,0.8,-,6.88,16(2),1435.0
"64Joe WillockNewcastle, 23, M(C)","Joe Willock Newcastle, 23, M(C)",4,1,25.7,84.8,0.4,1.2,-,6.87,23(3),1904.0
"65Kepa ArrizabalagaChelsea, 28, GK","Kepa Arrizabalaga Chelsea, 28, GK",-,-,29.9,82.7,-,4.1,-,6.87,20,1756.0
"66Ben WhiteArsenal, 25, D(CR),DMC","Ben White Arsenal, 25, D(CR),DMC",3,0.7,50.9,85.8,0.4,1.7,0.1,6.87,27(2),2258.0
"67Douglas LuizAston Villa, 24, M(C)","Douglas Luiz Aston Villa, 24, M(C)",5,1.2,44.7,87.0,0.6,2.0,0.1,6.86,23(4),2040.0
"68Mathias JensenBrentford, 27, M(C)","Mathias Jensen Brentford, 27, M(C)",5,1.2,32.8,75.1,1.3,3.1,-,6.86,28,2170.0
"69Dejan KulusevskiTottenham, 22, AM(CR),FW","Dejan Kulusevski Tottenham, 22, AM(CR),FW",6,1.8,25.4,80.5,0.6,0.5,-,6.86,17(4),1563.0
"70WillianFulham, 34, AM(CLR)","Willian Fulham, 34, AM(CLR)",2,1.5,28.5,81.9,0.2,2.1,0.1,6.86,17(2),1471.0
"71Philip BillingBournemouth, 26, M(C),FW","Philip Billing Bournemouth, 26, M(C),FW",1,0.6,25.4,78.5,0.2,0.7,0.1,6.86,25(2),2058.0
"72Youri TielemansLeicester, 25, M(C)","Youri Tielemans Leicester, 25, M(C)",1,1.0,51.9,83.9,0.4,2.4,0.2,6.86,19(4),1712.0
"73Lucas PaquetáWest Ham, 25, M(CLR),FW","Lucas Paquetá West Ham, 25, M(CLR),FW",2,0.9,38.3,80.6,0.2,1.6,0.1,6.85,18(1),1417.0
"74Kai HavertzChelsea, 23, M(CR),FW","Kai Havertz Chelsea, 23, M(CR),FW",1,1.2,25.6,81.9,0.1,0.4,0.1,6.84,24(3),2075.0
"75Joachim AndersenCrystal Palace, 26, D(C)","Joachim Andersen Crystal Palace, 26, D(C)",-,0.3,60.6,79.8,-,6.5,-,6.84,23,2018.0
"76Pascal StruijkLeeds, 23, D(CL),DMC","Pascal Struijk Leeds, 23, D(CL),DMC",1,0.5,39.7,78.9,0.2,0.6,-,6.83,21(1),1781.0
"77Andrew RobertsonLiverpool, 29, D(L),M(L)","Andrew Robertson Liverpool, 29, D(L),M(L)",6,1.6,49.9,83.3,1.7,1.6,-,6.83,21(3),1846.0
"78Rasmus KristensenLeeds, 25, D(R),M(R)","Rasmus Kristensen Leeds, 25, D(R),M(R)",1,0.5,32.7,65.6,0.4,0.9,-,6.82,14(3),1300.0
"79Michael OliseCrystal Palace, 21, AM(CLR)","Michael Olise Crystal Palace, 21, AM(CLR)",5,1.6,29.1,79.2,1.3,1.1,-,6.81,22(6),1947.0
"80Lisandro MartínezMan Utd, 25, D(CL),DMC","Lisandro Martínez Man Utd, 25, D(CL),DMC",-,0.2,54.5,86.7,-,2.4,0.1,6.8,22(3),1937.0
"81Sven BotmanNewcastle, 23, D(C)","Sven Botman Newcastle, 23, D(C)",-,0.3,48.2,86.7,-,3.4,-,6.8,24(1),2139.0
"82Eberechi EzeCrystal Palace, 24, AM(CLR)","Eberechi Eze Crystal Palace, 24, AM(CLR)",3,1.4,26.0,82.0,0.6,0.9,0.1,6.79,21(8),1834.0
"83Dwight McNeilEverton, 23, AM(CLR)","Dwight McNeil Everton, 23, AM(CLR)",2,1.1,19.0,77.8,1.3,0.7,-,6.79,19(8),1692.0
"84John McGinnAston Villa, 28, M(CR)","John McGinn Aston Villa, 28, M(CR)",2,0.5,28.0,80.4,0.3,2.0,0.2,6.79,20(4),1798.0
"85Rúben DiasMan City, 25, D(C)","Rúben Dias Man City, 25, D(C)",-,0.1,72.9,92.6,-,2.4,-,6.79,16(4),1459.0
"86Dan BurnNewcastle, 30, D(CL),M(L)","Dan Burn Newcastle, 30, D(CL),M(L)",-,0.5,38.7,78.3,0.1,1.5,-,6.79,26(1),2304.0
"87Wilfried ZahaCrystal Palace, 30, AM(LR),FW","Wilfried Zaha Crystal Palace, 30, AM(LR),FW",2,1.0,21.5,81.4,0.2,0.3,0.1,6.79,24,2070.0
"88Pervis EstupiñánBrighton, 25, D(L)","Pervis Estupiñán Brighton, 25, D(L)",3,1.4,45.0,83.6,0.8,1.0,-,6.78,20(3),1666.0
"89Armel Bella-KotchapSouthampton, 21, D(C)","Armel Bella-Kotchap Southampton, 21, D(C)",1,0.3,37.3,79.2,-,2.0,0.1,6.78,19,1487.0
"90Jarrod BowenWest Ham, 26, AM(CLR),FW","Jarrod Bowen West Ham, 26, AM(CLR),FW",2,1.4,20.0,73.1,0.9,0.7,-,6.78,27,2423.0
