Player,Player.1,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating,Apps,Mins
"38Marc-André ter StegenBarcelona, 30, GK","Marc-André ter Stegen Barcelona, 30, GK",-,0.1,33.9,82.8,-,6.9,-,6.91,27,2430.0
"39Gabri VeigaCelta Vigo, 20, M(C)","Gabri Veiga Celta Vigo, 20, M(C)",4,0.8,20.0,79.2,0.2,1.0,0.2,6.91,19(7),1594.0
"40Andreas ChristensenBarcelona, 26, D(C),DMC","Andreas Christensen Barcelona, 26, D(C),DMC",1,0.3,68.4,93.9,-,3.1,-,6.91,15(1),1266.0
"41ReinildoAtletico, 29, D(CL),M(L)","Reinildo Atletico, 29, D(CL),M(L)",-,0.4,43.3,87.1,0.2,1.2,-,6.91,22,1860.0
"42Thibaut CourtoisReal Madrid, 30, GK","Thibaut Courtois Real Madrid, 30, GK",-,0.1,29.3,82.6,-,4.2,-,6.9,21,1890.0
"43Samuel ChukwuezeVillarreal, 23, AM(CR)","Samuel Chukwueze Villarreal, 23, AM(CR)",5,1.2,22.1,77.5,0.3,0.6,0.1,6.89,17(9),1569.0
"44Lee Kang-InMallorca, 22, AM(CLR),FW","Lee Kang-In Mallorca, 22, AM(CLR),FW",4,1.5,23.7,80.7,1.6,0.8,0.1,6.89,24(2),2039.0
"45Álvaro GarcíaRayo Vallecano, 30, AM(L)","Álvaro García Rayo Vallecano, 30, AM(L)",3,1.4,23.9,71.4,1,0.6,-,6.88,24(1),2084.0
"46Nico WilliamsAthletic Bilbao, 20, AM(LR)","Nico Williams Athletic Bilbao, 20, AM(LR)",4,1.4,22.8,78.4,0.7,0.4,-,6.88,24(2),2037.0
"47Ronald AraújoBarcelona, 24, D(CR)","Ronald Araújo Barcelona, 24, D(CR)",2,0.2,50.9,88.5,-,3.2,-,6.87,14(1),1200.0
"48Takefusa KuboReal Sociedad, 21, AM(CLR),FW","Takefusa Kubo Real Sociedad, 21, AM(CLR),FW",3,1.0,23.5,76.3,0.4,0.3,-,6.87,21(3),1752.0
"49Guido RodríguezReal Betis, 28, DMC","Guido Rodríguez Real Betis, 28, DMC",-,0.3,47.9,87.7,-,2.6,0.1,6.87,22(1),1888.0
"50Yeray ÁlvarezAthletic Bilbao, 28, D(C)","Yeray Álvarez Athletic Bilbao, 28, D(C)",1,0.5,51.0,81.7,0.2,4.5,0.1,6.86,22,1900.0
"51Álvaro MorataAtletico, 30, AM(L),FW","Álvaro Morata Atletico, 30, AM(L),FW",2,0.5,12.0,63.3,-,0.3,-,6.85,17(10),1420.0
"52Alexander SørlothReal Sociedad, 27, AM(R),FW","Alexander Sørloth Real Sociedad, 27, AM(R),FW",1,0.9,14.6,69.6,-,0.1,-,6.84,21(2),1734.0
"53Eric GarcíaBarcelona, 22, D(C)","Eric García Barcelona, 22, D(C)",-,-,58.1,91.8,-,4.1,-,6.84,12(3),1001.0
"54Pau TorresVillarreal, 26, D(C)","Pau Torres Villarreal, 26, D(C)",-,0.5,61.4,85.6,-,5.3,-,6.84,24,2155.0
"55Álex MorenoReal Betis, 29, D(L),M(L)","Álex Moreno Real Betis, 29, D(L),M(L)",3,0.6,35.1,77.4,0.3,1.2,-,6.83,15,1350.0
"56Aitor FernándezOsasuna, 31, GK","Aitor Fernández Osasuna, 31, GK",-,-,31.6,58.9,-,9.1,-,6.82,14,1260.0
"57David SilvaReal Sociedad, 37, M(CLR),FW","David Silva Real Sociedad, 37, M(CLR),FW",4,1.3,39.6,85.7,0.2,1.6,0.3,6.82,18(2),1403.0
"58Iza CarcelénCadiz, 29, D(R)","Iza Carcelén Cadiz, 29, D(R)",1,0.3,26.5,80.3,0.4,1.2,-,6.82,16(2),1420.0
"59Omar AldereteGetafe, 26, D(C)","Omar Alderete Getafe, 26, D(C)",1,0.3,36.1,59.0,-,2.7,-,6.81,13(1),1171.0
"60David GarcíaOsasuna, 29, D(C)","David García Osasuna, 29, D(C)",-,0.2,44.7,81.0,-,4.0,-,6.81,23,2032.0
"61David SoriaGetafe, 30, GK","David Soria Getafe, 30, GK",-,0.1,26.0,52.3,-,10.6,-,6.81,27,2430.0
"62Vinicius SouzaEspanyol, 23, DMC","Vinicius Souza Espanyol, 23, DMC",-,0.3,31.9,80.5,-,1.8,-,6.81,25,2129.0
"63André AlmeidaValencia, 22, M(C)","André Almeida Valencia, 22, M(C)",3,1.0,34.2,85.0,0.8,1.3,0.1,6.8,19(5),1690.0
"64Marcos LlorenteAtletico, 28, D(R),M(CR),FW","Marcos Llorente Atletico, 28, D(R),M(CR),FW",2,1.3,31.7,86.0,0.2,0.9,0.1,6.8,19(1),1532.0
"65Marco AsensioReal Madrid, 27, AM(CLR),FW","Marco Asensio Real Madrid, 27, AM(CLR),FW",4,1.0,18.9,89.7,0.4,1.0,0.1,6.79,8(13),784.0
"66Yeremy PinoVillarreal, 20, AM(LR)","Yeremy Pino Villarreal, 20, AM(LR)",3,1.0,20.7,77.6,0.2,0.5,-,6.79,21(5),1661.0
"67Eduardo CamavingaReal Madrid, 20, D(L),DMC","Eduardo Camavinga Real Madrid, 20, D(L),DMC",1,0.6,35.1,91.6,-,1.4,0.1,6.79,15(12),1433.0
"68Yuri BerchicheAthletic Bilbao, 33, D(L),M(L)","Yuri Berchiche Athletic Bilbao, 33, D(L),M(L)",1,0.6,39.2,83.3,0.6,2.4,0.1,6.79,16(2),1418.0
"69Iker MuniainAthletic Bilbao, 30, AM(CLR)","Iker Muniain Athletic Bilbao, 30, AM(CLR)",3,1.7,36.0,86.3,1.2,1.1,0.2,6.78,16(7),1393.0
"70Antonio RaílloMallorca, 31, D(C)","Antonio Raíllo Mallorca, 31, D(C)",1,0.2,36.6,83.6,-,2.2,-,6.78,26,2340.0
"71Luka ModricReal Madrid, 37, M(C)","Luka Modric Real Madrid, 37, M(C)",3,1.3,45.8,90.4,0.5,2.3,0.3,6.78,16(8),1415.0
"72Sergi RobertoBarcelona, 31, D(R),M(CR)","Sergi Roberto Barcelona, 31, D(R),M(CR)",1,0.4,36.8,92.3,0.4,1.2,-,6.78,11(7),1036.0
"73Alfonso PedrazaVillarreal, 26, D(L),M(L)","Alfonso Pedraza Villarreal, 26, D(L),M(L)",2,0.6,21.9,82.0,0.4,0.6,-,6.78,13(4),1068.0
"74William CarvalhoReal Betis, 30, DMC","William Carvalho Real Betis, 30, DMC",-,0.6,55.3,87.0,-,2.9,0.1,6.77,21(2),1725.0
"75Samuel LinoValencia, 23, AM(LR),FW","Samuel Lino Valencia, 23, AM(LR),FW",1,0.7,29.2,81.1,0.2,0.7,0.1,6.77,25(2),2173.0
"76Dani VivianAthletic Bilbao, 23, D(C)","Dani Vivian Athletic Bilbao, 23, D(C)",-,0.2,47.9,80.3,-,4.1,0.1,6.77,18(1),1624.0
"77Aitor RuibalReal Betis, 27, D(R),M(LR)","Aitor Ruibal Real Betis, 27, D(R),M(LR)",-,0.6,25.3,80.2,0.2,1.4,-,6.76,12(9),1171.0
"78Germán PezzellaReal Betis, 31, D(C)","Germán Pezzella Real Betis, 31, D(C)",-,0.1,44.2,88.4,-,2.6,-,6.76,21(2),1875.0
"79Marcos AcuñaSevilla, 31, D(CL),M(CL)","Marcos Acuña Sevilla, 31, D(CL),M(CL)",1,1.1,34.3,81.3,1.2,2.7,-,6.76,16(6),1416.0
"80Diego RicoReal Sociedad, 30, D(CL),M(L)","Diego Rico Real Sociedad, 30, D(CL),M(L)",-,0.6,38.3,78.8,0.7,2.0,-,6.75,16(2),1467.0
"81Stefan SavicAtletico, 32, D(C)","Stefan Savic Atletico, 32, D(C)",-,0.1,54.5,88.4,-,2.6,-,6.75,19,1676.0
"82Rui SilvaReal Betis, 29, GK","Rui Silva Real Betis, 29, GK",-,-,30.7,62.9,-,8.0,-,6.75,21,1890.0
"83Robin Le NormandReal Sociedad, 26, D(C)","Robin Le Normand Real Sociedad, 26, D(C)",-,0.1,50.5,89.4,-,3.1,-,6.75,22(2),1985.0
"84Pablo MaffeoMallorca, 25, D(R),M(R)","Pablo Maffeo Mallorca, 25, D(R),M(R)",3,1,25.2,71.8,0.7,1.4,0.1,6.74,24(1),2084.0
"85Unai NúñezCelta Vigo, 26, D(C)","Unai Núñez Celta Vigo, 26, D(C)",-,0.1,54.5,86.6,-,4.0,-,6.74,25,2250.0
"86Iñaki WilliamsAthletic Bilbao, 28, AM(CLR),FW","Iñaki Williams Athletic Bilbao, 28, AM(CLR),FW",2,1,18.7,71.4,0.2,0.3,-,6.74,23(2),1957.0
"87Florian LejeuneRayo Vallecano, 31, D(C)","Florian Lejeune Rayo Vallecano, 31, D(C)",-,0.3,46.9,79.4,-,4.6,-,6.73,25,2121.0
"88Edgar GonzálezReal Betis, 26, D(C),DMC","Edgar González Real Betis, 26, D(C),DMC",-,0.1,36.4,89.0,-,1.7,-,6.73,13(5),1234.0
"89Sergio CanalesReal Betis, 32, M(CLR)","Sergio Canales Real Betis, 32, M(CLR)",2,1.7,43.0,81.2,0.9,2.1,0.3,6.72,19(2),1648.0
"90João FélixAtletico, 23, AM(CL),FW","João Félix Atletico, 23, AM(CL),FW",3,0.7,15.4,77.3,0.1,0.5,0.4,6.72,7(7),651.0
"91David LópezGirona, 33, D(C),DMC","David López Girona, 33, D(C),DMC",1,0.4,60.1,89.6,-,3.1,-,6.72,14(1),1250.0
"92Mario HermosoAtletico, 27, D(CL)","Mario Hermoso Atletico, 27, D(CL)",-,0.5,49.1,86.2,-,5.5,-,6.72,13(2),1163.0
"93Santi ComesañaRayo Vallecano, 26, M(C)","Santi Comesaña Rayo Vallecano, 26, M(C)",-,0.9,31.2,84.3,-,1.4,-,6.72,19(6),1651.0
"94Alex BerenguerAthletic Bilbao, 27, D(LR),M(CLR),FW","Alex Berenguer Athletic Bilbao, 27, D(LR),M(CLR),FW",1,1.3,21.7,75.4,0.9,0.6,-,6.71,20(6),1699.0
"95Youssouf SabalyReal Betis, 30, D(LR),M(R)","Youssouf Sabaly Real Betis, 30, D(LR),M(R)",1,0.5,34.2,84.1,0.1,0.8,-,6.71,14(4),1275.0
"96Yannick CarrascoAtletico, 29, D(L),M(CLR),FW","Yannick Carrasco Atletico, 29, D(L),M(CLR),FW",-,1.0,22.6,83.0,0.6,0.5,-,6.71,16(9),1495.0
"97Moi GómezOsasuna, 28, M(CLR)","Moi Gómez Osasuna, 28, M(CLR)",2,1.7,46.1,88.4,1.2,3.6,-,6.71,25(2),2142.0
"98Borja IglesiasReal Betis, 30, FW","Borja Iglesias Real Betis, 30, FW",3,0.6,15.5,74.7,-,0.3,0.1,6.7,23(2),1864.0
"99Eray CömertValencia, 25, D(C)","Eray Cömert Valencia, 25, D(C)",-,0.2,44.9,87.2,-,3.3,-,6.7,17(3),1528.0
"100El Bilal TouréAlmeria, 21, FW","El Bilal Touré Almeria, 21, FW",2,0.7,12.5,71.3,0.1,-,-,6.7,14(5),1180.0
"101KokeAtletico, 31, M(CLR)","Koke Atletico, 31, M(CLR)",3,0.9,54.9,88.1,0.1,2.8,-,6.7,20(3),1698.0
"102Igor ZubeldiaReal Sociedad, 26, D(C),DMC","Igor Zubeldia Real Sociedad, 26, D(C),DMC",1,0.1,50.0,86.2,0.1,2.5,-,6.69,20(2),1799.0
"103Arnau MartinezGirona, 19, D(R)","Arnau Martinez Girona, 19, D(R)",2,1.2,36.3,80.6,0.6,1.4,-,6.69,22(1),1850.0
"104Alejandro CatenaRayo Vallecano, 28, D(C)","Alejandro Catena Rayo Vallecano, 28, D(C)",1,0.2,54.7,83.0,-,7.2,-,6.69,25,2250.0
"105Mikel VesgaAthletic Bilbao, 29, DMC","Mikel Vesga Athletic Bilbao, 29, DMC",2,0.7,43.0,83.6,0.1,2.9,-,6.69,20(6),1856.0
"106Rodrigo De PaulAtletico, 28, AM(CLR),FW","Rodrigo De Paul Atletico, 28, AM(CLR),FW",3,1.5,39.7,85.0,0.5,3.3,0.2,6.69,14(6),1152.0
"107Nabil FekirReal Betis, 29, AM(CLR),FW","Nabil Fekir Real Betis, 29, AM(CLR),FW",2,1.5,28.7,84.7,0.7,0.5,-,6.69,12(3),970.0
"108Jan OblakAtletico, 30, GK","Jan Oblak Atletico, 30, GK",-,-,24.8,62.3,-,5.2,-,6.69,25,2223.0
"109Thierry CorreiaValencia, 24, D(R),M(R)","Thierry Correia Valencia, 24, D(R),M(R)",-,0.4,42.7,78.9,0.9,2.2,-,6.69,19(2),1635.0
"110Joseph AidooCelta Vigo, 27, D(C)","Joseph Aidoo Celta Vigo, 27, D(C)",-,-,48.0,85.6,-,2.3,-,6.69,27,2414.0
"111Raúl AlbiolVillarreal, 37, D(C)","Raúl Albiol Villarreal, 37, D(C)",-,0.1,60.7,88.8,-,5.2,-,6.69,23,2016.0
