Player,Player.1,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating,Apps,Mins
"38Caio HenriqueMonaco, 25, D(L),M(CL)","Caio Henrique Monaco, 25, D(L),M(CL)",7,1.4,45.8,80.0,1,1.5,-,6.97,24(2),2175.0
"39Jean-Ricner BellegardeStrasbourg, 24, M(CLR)","Jean-Ricner Bellegarde Strasbourg, 24, M(CLR)",5,1.9,38.8,80.6,1.8,1.7,0.1,6.96,20(1),1708.0
"40Habib DialloStrasbourg, 27, AM(R),FW","Habib Diallo Strasbourg, 27, AM(R),FW",-,0.7,15.6,68.0,-,0.3,0.1,6.96,24(5),2166.0
"41Adam OunasLille, 26, AM(CLR),FW","Adam Ounas Lille, 26, AM(CLR),FW",1,1.4,24.1,79.3,0.7,1.5,0.2,6.96,11(5),903.0
"42Przemyslaw FrankowskiLens, 27, D(R),M(CLR)","Przemyslaw Frankowski Lens, 27, D(R),M(CLR)",2,1.9,35.3,82.5,1.7,1.4,-,6.96,23(6),2124.0
"43Nicolas PépéNice, 27, AM(LR),FW","Nicolas Pépé Nice, 27, AM(LR),FW",-,1.3,32.4,82.4,0.8,0.7,0.1,6.96,16(2),1439.0
"44Benjamin BourigeaudRennes, 29, M(CLR)","Benjamin Bourigeaud Rennes, 29, M(CLR)",6,2.4,46.1,79.9,1.8,2.8,0.2,6.95,28,2303.0
"45Jonathan ClaussMarseille, 30, D(R),M(LR)","Jonathan Clauss Marseille, 30, D(R),M(LR)",8,1.4,32.2,75.1,0.9,1.2,0.1,6.95,23(2),1859.0
"46Jonathan BambaLille, 27, AM(CLR),FW","Jonathan Bamba Lille, 27, AM(CLR),FW",5,1.4,38.7,83.9,0.4,0.9,0.2,6.95,23(2),2069.0
"47Nuno TavaresMarseille, 23, D(L),M(L)","Nuno Tavares Marseille, 23, D(L),M(L)",-,0.9,35.9,79.5,0.5,1.4,0.1,6.95,21(4),2028.0
"48Nicolás TagliaficoLyon, 30, D(CL),M(L)","Nicolás Tagliafico Lyon, 30, D(CL),M(L)",3,0.7,46.9,86.7,0.3,1.0,-,6.95,27,2409.0
"49Amine GouiriRennes, 23, AM(L),FW","Amine Gouiri Rennes, 23, AM(L),FW",1,1.0,20.0,81.2,0.3,0.5,-,6.94,20(4),1740.0
"50Valentin RongierMarseille, 28, D(R),M(C)","Valentin Rongier Marseille, 28, D(R),M(C)",-,0.7,57.1,88.2,0.1,2.5,-,6.94,26(2),2314.0
"51Marco VerrattiPSG, 30, M(C)","Marco Verratti PSG, 30, M(C)",-,0.9,83.2,92.4,0.1,2.9,0.2,6.94,21(1),1674.0
"52Neto BorgesClermont Foot, 26, D(L),M(L)","Neto Borges Clermont Foot, 26, D(L),M(L)",-,1.0,35.4,78.9,0.7,1.0,-,6.94,26,2254.0
