Player,Player.1,Apps,Mins,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Rating
"36Ludovic BlasNantes, 25, M(CLR),FW","Ludovic Blas Nantes, 25, M(CLR),FW",23(5),2146,6,2,2.7,1.3,2.2,1.7,0.1,2.1,2.5,6.99
"37Junya ItoReims, 30, AM(LR),FW","Junya Ito Reims, 30, AM(LR),FW",25(1),2133,5,5,1.3,1.8,1.7,1.2,0.7,1.3,2.8,6.98
"38Caio HenriqueMonaco, 25, D(L),M(CL)","Caio Henrique Monaco, 25, D(L),M(CL)",24(2),2175,1,7,0.4,1.4,0.7,0.7,-,0.3,0.8,6.97
"39Jean-Ricner BellegardeStrasbourg, 24, M(CLR)","Jean-Ricner Bellegarde Strasbourg, 24, M(CLR)",20(1),1708,1,5,1,1.9,1.7,2.3,-,1.4,2,6.96
"40Habib DialloStrasbourg, 27, AM(R),FW","Habib Diallo Strasbourg, 27, AM(R),FW",24(5),2166,15,-,2.3,0.7,0.6,1.9,0.6,0.9,2.9,6.96
"41Adam OunasLille, 26, AM(CLR),FW","Adam Ounas Lille, 26, AM(CLR),FW",11(5),903,1,1,1.6,1.4,2.3,1.7,0.1,1.6,1.4,6.96
"42Przemyslaw FrankowskiLens, 27, D(R),M(CLR)","Przemyslaw Frankowski Lens, 27, D(R),M(CLR)",23(6),2124,2,2,0.8,1.9,0.2,0.4,0.2,0.2,0.9,6.96
"43Nicolas PépéNice, 27, AM(LR),FW","Nicolas Pépé Nice, 27, AM(LR),FW",16(2),1439,6,-,2.5,1.3,1.8,1.9,0.3,2.8,2.3,6.96
"44Benjamin BourigeaudRennes, 29, M(CLR)","Benjamin Bourigeaud Rennes, 29, M(CLR)",28,2303,3,6,1.6,2.4,0.4,0.4,0.1,0.5,0.9,6.95
"45Jonathan ClaussMarseille, 30, D(R),M(LR)","Jonathan Clauss Marseille, 30, D(R),M(LR)",23(2),1859,1,8,1.4,1.4,0.9,0.3,0.1,0.5,1.1,6.95
"46Jonathan BambaLille, 27, AM(CLR),FW","Jonathan Bamba Lille, 27, AM(CLR),FW",23(2),2069,5,5,2.2,1.4,0.9,1.7,0.4,1.8,2.0,6.95
"47Nuno TavaresMarseille, 23, D(L),M(L)","Nuno Tavares Marseille, 23, D(L),M(L)",21(4),2028,6,-,2.2,0.9,1.9,1.3,0.2,2.3,2.7,6.95
"48Nicolás TagliaficoLyon, 30, D(CL),M(L)","Nicolás Tagliafico Lyon, 30, D(CL),M(L)",27,2409,1,3,0.7,0.7,0.4,1.7,0.1,0.4,1.4,6.95
"49Amine GouiriRennes, 23, AM(L),FW","Amine Gouiri Rennes, 23, AM(L),FW",20(4),1740,9,1,2.1,1.0,0.9,0.4,0.3,1.0,2.1,6.94
"50Valentin RongierMarseille, 28, D(R),M(C)","Valentin Rongier Marseille, 28, D(R),M(C)",26(2),2314,1,-,0.5,0.7,0.8,0.8,-,0.8,0.8,6.94
"51Marco VerrattiPSG, 30, M(C)","Marco Verratti PSG, 30, M(C)",21(1),1674,-,-,0.2,0.9,1.1,1.7,-,1.3,0.6,6.94
"52Neto BorgesClermont Foot, 26, D(L),M(L)","Neto Borges Clermont Foot, 26, D(L),M(L)",26,2254,2,-,0.8,1.0,1.5,1.4,0.2,0.6,1.3,6.94
