Player,Player.1,Apps,Mins,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Rating
"50Son Heung-MinTottenham, 30, M(CLR),FW","Son Heung-Min Tottenham, 30, M(CLR),FW",24(3),2114,6,4,2.3,1.8,0.8,1.0,0.4,1.6,1.9,6.94
"51Kenny TeteFulham, 27, D(CR),M(R)","Kenny Tete Fulham, 27, D(CR),M(R)",21(1),1855,-,4,0.5,0.8,0.5,1.5,-,0.8,0.8,6.94
"52Darwin NúñezLiverpool, 23, AM(CL),FW","Darwin Núñez Liverpool, 23, AM(CL),FW",16(5),1374,8,3,3.6,1.1,0.7,0.6,0.8,1,1.7,6.94
"53AlissonLiverpool, 30, GK","Alisson Liverpool, 30, GK",27,2430,-,1,-,-,-,0.1,-,-,-,6.93
"54Gabriel MagalhãesArsenal, 25, D(C)","Gabriel Magalhães Arsenal, 25, D(C)",29,2606,3,-,0.9,0.1,-,1.2,-,0.1,0.5,6.91
"55Virgil van DijkLiverpool, 31, D(C)","Virgil van Dijk Liverpool, 31, D(C)",23,2026,3,-,1,0.2,0.1,0.1,-,-,0.3,6.91
"56Bernardo SilvaMan City, 28, M(CLR),FW","Bernardo Silva Man City, 28, M(CLR),FW",20(6),1792,4,5,0.8,1,0.9,0.5,0.1,1,0.9,6.91
"57Trent Alexander-ArnoldLiverpool, 24, D(R),M(R)","Trent Alexander-Arnold Liverpool, 24, D(R),M(R)",24(3),2032,1,2,0.9,1.8,0.6,0.1,0.2,0.6,1,6.91
"58Ollie WatkinsAston Villa, 27, AM(LR),FW","Ollie Watkins Aston Villa, 27, AM(LR),FW",26(1),2239,10,5,2.2,0.9,0.5,1.0,0.5,1.2,2.5,6.9
"59Bryan MbeumoBrentford, 23, AM(LR),FW","Bryan Mbeumo Brentford, 23, AM(LR),FW",28,2195,5,5,1.7,1.3,1.1,0.5,0.1,1.5,1.8,6.9
"60Emiliano MartínezAston Villa, 30, GK","Emiliano Martínez Aston Villa, 30, GK",26,2285,-,-,-,0.1,-,0.2,-,-,0.1,6.89
"61Luke ShawMan Utd, 27, D(CL),M(L)","Luke Shaw Man Utd, 27, D(CL),M(L)",22(1),1935,1,2,0.4,1.3,0.4,0.9,-,0.3,0.8,6.89
"62Roberto FirminoLiverpool, 31, M(CLR),FW","Roberto Firmino Liverpool, 31, M(CLR),FW",11(9),1053,8,4,1.7,1,0.6,0.3,0.2,1,1.6,6.89
"63Sèrge AurierNottingham Forest, 30, D(CLR),M(R)","Sèrge Aurier Nottingham Forest, 30, D(CLR),M(R)",16(2),1435,1,-,0.4,0.6,0.6,1.1,-,0.8,1.3,6.88
"64Joe WillockNewcastle, 23, M(C)","Joe Willock Newcastle, 23, M(C)",23(3),1904,3,4,1.7,1,0.9,0.5,0.1,0.7,2.0,6.87
"65Kepa ArrizabalagaChelsea, 28, GK","Kepa Arrizabalaga Chelsea, 28, GK",20,1756,-,-,-,-,-,0.3,-,-,0.1,6.87
"66Ben WhiteArsenal, 25, D(CR),DMC","Ben White Arsenal, 25, D(CR),DMC",27(2),2258,2,3,0.3,0.7,0.2,0.8,-,0.2,0.8,6.87
"67Douglas LuizAston Villa, 24, M(C)","Douglas Luiz Aston Villa, 24, M(C)",23(4),2040,3,5,0.9,1.2,0.7,1.0,0.1,0.8,0.8,6.86
"68Mathias JensenBrentford, 27, M(C)","Mathias Jensen Brentford, 27, M(C)",28,2170,5,5,0.6,1.2,0.6,0.8,-,0.9,1.5,6.86
"69Dejan KulusevskiTottenham, 22, AM(CR),FW","Dejan Kulusevski Tottenham, 22, AM(CR),FW",17(4),1563,2,6,1.5,1.8,1.7,0.9,-,1.7,3.1,6.86
"70WillianFulham, 34, AM(CLR)","Willian Fulham, 34, AM(CLR)",17(2),1471,3,2,1.3,1.5,1.3,0.9,0.1,0.9,1.6,6.86
"71Philip BillingBournemouth, 26, M(C),FW","Philip Billing Bournemouth, 26, M(C),FW",25(2),2058,6,1,1.0,0.6,0.7,1.1,0.1,1.0,1.1,6.86
"72Youri TielemansLeicester, 25, M(C)","Youri Tielemans Leicester, 25, M(C)",19(4),1712,3,1,1.0,1.0,0.7,0.6,-,0.5,1.2,6.86
"73Lucas PaquetáWest Ham, 25, M(CLR),FW","Lucas Paquetá West Ham, 25, M(CLR),FW",18(1),1417,2,2,2.0,0.9,0.8,1.2,0.1,1.3,1.5,6.85
"74Kai HavertzChelsea, 23, M(CR),FW","Kai Havertz Chelsea, 23, M(CR),FW",24(3),2075,7,1,2.1,1.2,0.6,0.7,0.9,1.2,2.6,6.84
"75Joachim AndersenCrystal Palace, 26, D(C)","Joachim Andersen Crystal Palace, 26, D(C)",23,2018,1,-,0.8,0.3,0.2,0.6,-,0.1,0.3,6.84
"76Pascal StruijkLeeds, 23, D(CL),DMC","Pascal Struijk Leeds, 23, D(CL),DMC",21(1),1781,2,1,0.6,0.5,0.4,0.5,-,0.4,1.0,6.83
"77Andrew RobertsonLiverpool, 29, D(L),M(L)","Andrew Robertson Liverpool, 29, D(L),M(L)",21(3),1846,-,6,0.5,1.6,0.5,0.4,0.2,0.3,1.0,6.83
"78Rasmus KristensenLeeds, 25, D(R),M(R)","Rasmus Kristensen Leeds, 25, D(R),M(R)",14(3),1300,2,1,0.6,0.5,0.4,0.2,0.1,0.1,0.2,6.82
"79Michael OliseCrystal Palace, 21, AM(CLR)","Michael Olise Crystal Palace, 21, AM(CLR)",22(6),1947,2,5,1.2,1.6,1.4,1.7,0.1,1.2,2.4,6.81
"80Lisandro MartínezMan Utd, 25, D(CL),DMC","Lisandro Martínez Man Utd, 25, D(CL),DMC",22(3),1937,1,-,0.3,0.2,0.5,0.4,-,0.3,0.4,6.8
"81Sven BotmanNewcastle, 23, D(C)","Sven Botman Newcastle, 23, D(C)",24(1),2139,-,-,0.6,0.3,-,0.3,0.1,0.1,0.3,6.8
"82Eberechi EzeCrystal Palace, 24, AM(CLR)","Eberechi Eze Crystal Palace, 24, AM(CLR)",21(8),1834,4,3,1.6,1.4,1.5,1.3,0.1,1.2,1.6,6.79
"83Dwight McNeilEverton, 23, AM(CLR)","Dwight McNeil Everton, 23, AM(CLR)",19(8),1692,3,2,1.0,1.1,1.2,0.6,-,1.0,1.4,6.79
"84John McGinnAston Villa, 28, M(CR)","John McGinn Aston Villa, 28, M(CR)",20(4),1798,1,2,1.2,0.5,1.1,1.4,-,1.0,1.6,6.79
"85Rúben DiasMan City, 25, D(C)","Rúben Dias Man City, 25, D(C)",16(4),1459,-,-,0.5,0.1,0.3,0.3,-,0.1,0.1,6.79
"86Dan BurnNewcastle, 30, D(CL),M(L)","Dan Burn Newcastle, 30, D(CL),M(L)",26(1),2304,-,-,0.5,0.5,0.3,-,0.1,0.2,0.7,6.79
"87Wilfried ZahaCrystal Palace, 30, AM(LR),FW","Wilfried Zaha Crystal Palace, 30, AM(LR),FW",24,2070,6,2,2.4,1.0,1.9,3,0.5,3.3,3.8,6.79
"88Pervis EstupiñánBrighton, 25, D(L)","Pervis Estupiñán Brighton, 25, D(L)",20(3),1666,-,3,0.6,1.4,0.4,0.7,0.3,0.8,1.2,6.78
"89Armel Bella-KotchapSouthampton, 21, D(C)","Armel Bella-Kotchap Southampton, 21, D(C)",19,1487,-,1,0.6,0.3,0.1,1.5,-,0.3,0.5,6.78
"90Jarrod BowenWest Ham, 26, AM(CLR),FW","Jarrod Bowen West Ham, 26, AM(CLR),FW",27,2423,4,2,2.2,1.4,1.1,2,0.3,1.7,2.0,6.78
"91Cristian RomeroTottenham, 24, D(C)","Cristian Romero Tottenham, 24, D(C)",19(1),1735,-,-,0.4,0.2,0.7,0.4,-,0.5,0.9,6.78
"92Mohammed SalisuSouthampton, 23, D(CL)","Mohammed Salisu Southampton, 23, D(CL)",21(1),1973,-,1,0.9,0.3,0.3,0.1,-,0.4,0.2,6.78
"93Allan Saint-MaximinNewcastle, 26, AM(CLR),FW","Allan Saint-Maximin Newcastle, 26, AM(CLR),FW",10(9),934,1,4,1.2,1.2,2.2,0.7,0.1,1.4,1.2,6.78
"94Morgan Gibbs-WhiteNottingham Forest, 23, AM(CLR),FW","Morgan Gibbs-White Nottingham Forest, 23, AM(CLR),FW",24(1),2100,2,5,1.8,2.1,1.3,0.9,0.2,1.4,3,6.78
"95Eric DierTottenham, 29, D(CR),DMC","Eric Dier Tottenham, 29, D(CR),DMC",26(1),2365,2,1,0.6,0.3,0.1,0.3,-,0.1,0.3,6.78
"96William SalibaArsenal, 22, D(C)","William Saliba Arsenal, 22, D(C)",27,2416,2,1,0.2,0.2,0.3,0.5,-,0.2,0.6,6.77
"97Timothy CastagneLeicester, 27, D(CLR),M(LR)","Timothy Castagne Leicester, 27, D(CLR),M(LR)",26(1),2357,1,3,0.5,0.6,0.3,0.4,0.1,0.5,0.9,6.77
"98Antonee RobinsonFulham, 25, D(L),M(L)","Antonee Robinson Fulham, 25, D(L),M(L)",25,2189,-,1,0.1,0.7,1.1,0.6,0.1,0.7,1.2,6.76
"99Alex IwobiEverton, 26, M(CLR)","Alex Iwobi Everton, 26, M(CLR)",29,2572,1,6,0.9,1.6,1.3,0.3,0.1,1.1,1.9,6.76
"100Vicente GuaitaCrystal Palace, 36, GK","Vicente Guaita Crystal Palace, 36, GK",27,2430,-,-,-,-,-,0.1,-,-,-,6.76
"101Dominic SolankeBournemouth, 25, FW","Dominic Solanke Bournemouth, 25, FW",22(1),1976,4,4,2.2,0.5,1.3,1.6,0.3,2.3,4.1,6.76
