Player,Player.1,Apps,Mins,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Rating
"36Alejandro BaldeBarcelona, 19, D(LR)","Alejandro Balde Barcelona, 19, D(LR)",20(3),1664,-,5,0.3,0.8,1.4,0.7,0.1,0.5,1.2,6.92
"37Jordi AlbaBarcelona, 34, D(L),M(L)","Jordi Alba Barcelona, 34, D(L),M(L)",11(6),1092,1,3,0.6,1.6,0.2,0.2,0.5,0.4,0.3,6.91
"38Marc-André ter StegenBarcelona, 30, GK","Marc-André ter Stegen Barcelona, 30, GK",27,2430,-,-,-,0.1,-,-,-,-,-,6.91
"39Gabri VeigaCelta Vigo, 20, M(C)","Gabri Veiga Celta Vigo, 20, M(C)",19(7),1594,9,4,1.8,0.8,1.1,0.8,0.1,0.5,1.8,6.91
"40Andreas ChristensenBarcelona, 26, D(C),DMC","Andreas Christensen Barcelona, 26, D(C),DMC",15(1),1266,-,1,0.4,0.3,-,0.4,-,0.1,0.6,6.91
"41ReinildoAtletico, 29, D(CL),M(L)","Reinildo Atletico, 29, D(CL),M(L)",22,1860,-,-,0.3,0.4,0.3,1.4,-,0.4,0.9,6.91
"42Thibaut CourtoisReal Madrid, 30, GK","Thibaut Courtois Real Madrid, 30, GK",21,1890,-,-,-,0.1,-,0.1,-,-,0.1,6.9
"43Samuel ChukwuezeVillarreal, 23, AM(CR)","Samuel Chukwueze Villarreal, 23, AM(CR)",17(9),1569,4,5,1.3,1.2,2.1,0.9,0.3,0.8,1.7,6.89
"44Lee Kang-InMallorca, 22, AM(CLR),FW","Lee Kang-In Mallorca, 22, AM(CLR),FW",24(2),2039,3,4,1.3,1.5,1.8,1.6,-,1.2,1.9,6.89
"45Álvaro GarcíaRayo Vallecano, 30, AM(L)","Álvaro García Rayo Vallecano, 30, AM(L)",24(1),2084,4,3,1.4,1.4,0.5,1.0,0.3,0.6,1.4,6.88
