Player,Player.1,Apps,Mins,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Rating
"154Álex BaenaVillarreal, 21, AM(CL)","Álex Baena Villarreal, 21, AM(CL)",13(11),1378,4,1,1.8,1,0.8,1.9,-,1,1.1,6.61
"155NachoReal Madrid, 33, D(CLR)","Nacho Real Madrid, 33, D(CLR)",10(7),923,-,1,0.2,0.4,0.4,0.5,0.1,0.4,0.5,6.59
"156Dani RodríguezMallorca, 34, AM(CLR)","Dani Rodríguez Mallorca, 34, AM(CLR)",21(5),1640,3,3,0.8,0.8,0.8,1.0,0.2,1.1,1.6,6.59
"157Óliver TorresSevilla, 28, M(CLR)","Óliver Torres Sevilla, 28, M(CLR)",22(3),1704,3,1,0.7,1.1,0.4,1.5,0.2,1.5,1,6.59
"158Stole DimitrievskiRayo Vallecano, 29, GK","Stole Dimitrievski Rayo Vallecano, 29, GK",26,2340,-,-,-,-,-,0.1,-,-,-,6.59
"159SusoSevilla, 29, AM(CLR),FW","Suso Sevilla, 29, AM(CLR),FW",5(11),614,1,1,0.9,1.2,1.1,0.8,0.3,0.6,0.7,6.58
"160Andrés GuardadoReal Betis, 36, D(L),M(CL)","Andrés Guardado Real Betis, 36, D(L),M(CL)",11(7),972,1,1,0.4,0.6,0.2,0.4,-,0.3,0.8,6.58
"161Samu CastillejoValencia, 28, AM(CLR)","Samu Castillejo Valencia, 28, AM(CLR)",15(6),1160,3,-,1.6,1.1,1,1.5,0.3,1.1,1.9,6.58
"162Santiago BuenoGirona, 24, D(C)","Santiago Bueno Girona, 24, D(C)",26,2328,-,1,0.5,0.3,0.1,1.1,0.1,-,0.2,6.58
"163Rubén SobrinoCadiz, 30, AM(CLR),FW","Rubén Sobrino Cadiz, 30, AM(CLR),FW",18(5),1646,2,1,1.0,0.6,0.7,1.6,0.3,1.2,1.6,6.58
"164Óscar PlanoReal Valladolid, 32, AM(CLR),FW","Óscar Plano Real Valladolid, 32, AM(CLR),FW",19(8),1794,1,1,1.0,0.5,0.4,1.6,0.1,0.8,1.3,6.58
"165Antonio RüdigerReal Madrid, 30, D(CR)","Antonio Rüdiger Real Madrid, 30, D(CR)",17(6),1599,1,-,0.7,0.1,-,0.1,-,-,0.3,6.58
"166Jawad El YamiqReal Valladolid, 31, D(C)","Jawad El Yamiq Real Valladolid, 31, D(C)",12(6),1058,-,-,0.6,0.1,0.4,0.2,-,0.2,0.5,6.57
"167Domingos DuarteGetafe, 28, D(C)","Domingos Duarte Getafe, 28, D(C)",25,2196,-,2,0.6,0.2,0.2,0.8,-,0.1,0.2,6.57
"168CopeteMallorca, 23, D(C)","Copete Mallorca, 23, D(C)",19(1),1528,-,-,0.2,0.1,0.5,0.9,0.1,0.3,0.5,6.56
"169Dani CarvajalReal Madrid, 31, D(R)","Dani Carvajal Real Madrid, 31, D(R)",16(5),1456,-,2,0.3,0.9,0.2,0.6,0.2,0.3,0.8,6.56
"170Iván FresnedaReal Valladolid, 18, D(R)","Iván Fresneda Real Valladolid, 18, D(R)",11(3),1128,-,-,0.1,0.9,0.6,1.4,-,0.8,0.9,6.56
"171Juan IglesiasGetafe, 24, D(LR),M(R)","Juan Iglesias Getafe, 24, D(LR),M(R)",16(7),1591,1,-,0.6,0.5,0.4,0.6,-,0.2,1.0,6.56
"172Franco CerviCelta Vigo, 28, AM(CL)","Franco Cervi Celta Vigo, 28, AM(CL)",16(10),1432,-,3,0.7,0.7,0.5,1.1,-,0.6,1.0,6.56
"173Rodrigo RiquelmeGirona, 23, AM(CL)","Rodrigo Riquelme Girona, 23, AM(CL)",19(7),1648,4,2,1.7,0.8,1.4,1.1,0.2,0.7,1.8,6.56
"174Joaquín FernándezReal Valladolid, 26, D(C),DMC","Joaquín Fernández Real Valladolid, 26, D(C),DMC",17(3),1602,1,-,0.4,0.1,0.1,0.4,0.1,0.1,0.3,6.55
"175Iván SánchezReal Valladolid, 30, AM(CR)","Iván Sánchez Real Valladolid, 30, AM(CR)",13(8),1005,1,-,0.8,0.6,1.3,1.6,-,0.7,0.8,6.55
"176Rubén AlcarazCadiz, 31, DMC","Rubén Alcaraz Cadiz, 31, DMC",15(6),1353,2,-,1.0,0.7,0.4,1.0,-,0.9,1.2,6.55
"177Jaume CostaMallorca, 35, D(LR),M(L)","Jaume Costa Mallorca, 35, D(LR),M(L)",23,1938,-,1,0.5,1.0,0.3,1.2,0.3,0.3,0.6,6.55
"178Rubén SánchezEspanyol, 22, AM(R)","Rubén Sánchez Espanyol, 22, AM(R)",7(8),745,-,2,0.5,0.5,0.8,0.4,-,0.5,1.0,6.55
"179Kike PérezReal Valladolid, 26, M(C)","Kike Pérez Real Valladolid, 26, M(C)",19(6),1658,-,2,1.3,0.8,0.9,1.7,0.1,0.9,1.4,6.55
"180Axel WitselAtletico, 34, D(C),M(C)","Axel Witsel Atletico, 34, D(C),M(C)",15(8),1406,-,-,0.3,0.2,0.2,0.4,-,0.1,0.3,6.55
"181Ferran TorresBarcelona, 23, AM(LR),FW","Ferran Torres Barcelona, 23, AM(LR),FW",11(13),1084,3,1,1.4,0.9,1.3,0.9,0.3,0.8,1.6,6.55
"182Léo BaptistãoAlmeria, 30, AM(CLR),FW","Léo Baptistão Almeria, 30, AM(CLR),FW",18(4),1318,3,2,1.6,0.6,0.4,0.7,0.4,0.7,2,6.54
"183RodriReal Betis, 23, AM(CLR)","Rodri Real Betis, 23, AM(CLR)",16(4),1221,2,1,0.6,0.5,1,1.6,0.1,0.7,1.4,6.54
"184Djené DakonamGetafe, 31, D(C)","Djené Dakonam Getafe, 31, D(C)",24,2079,-,1,0.3,0.2,0.4,1.3,-,0.5,0.6,6.54
"185Yan CoutoGirona, 20, D(R),M(R)","Yan Couto Girona, 20, D(R),M(R)",7(7),682,-,1,0.4,0.6,1.4,0.6,0.1,0.4,1.2,6.54
"186Ansu FatiBarcelona, 20, AM(L),FW","Ansu Fati Barcelona, 20, AM(L),FW",10(15),1010,4,3,1.8,0.4,0.7,0.4,0.3,1.1,1.2,6.54
"187Damián SuárezGetafe, 34, D(R),M(R)","Damián Suárez Getafe, 34, D(R),M(R)",16(2),1186,1,-,0.1,0.9,0.3,0.4,0.1,0.3,0.7,6.54
"188FernandoSevilla, 35, D(C),DMC","Fernando Sevilla, 35, D(C),DMC",14(1),1148,-,-,0.3,0.3,0.1,0.5,-,0.7,0.7,6.54
"189Unai SimónAthletic Bilbao, 25, GK","Unai Simón Athletic Bilbao, 25, GK",22,1936,-,-,-,-,-,-,-,-,-,6.53
"190Manu SánchezOsasuna, 22, D(L)","Manu Sánchez Osasuna, 22, D(L)",12(8),1208,-,1,0.3,0.8,0.3,0.4,-,0.4,0.8,6.53
"191Luiz FelipeReal Betis, 26, D(C)","Luiz Felipe Real Betis, 26, D(C)",14(1),1127,-,-,0.1,0.1,0.2,0.3,-,-,0.3,6.53
"192Théo BongondaCadiz, 27, AM(LR)","Théo Bongonda Cadiz, 27, AM(LR)",15(5),1200,2,2,1.4,0.5,1.1,1.1,0.2,0.6,1.4,6.53
"193Asier IllarramendiReal Sociedad, 33, M(C)","Asier Illarramendi Real Sociedad, 33, M(C)",9(8),751,1,-,0.5,0.4,0.2,0.7,-,0.1,0.6,6.53
"194Youssef En-NesyriSevilla, 25, FW","Youssef En-Nesyri Sevilla, 25, FW",12(11),1137,6,-,2,0.3,0.1,0.3,0.5,0.2,1.4,6.53
"195Alex TellesSevilla, 30, D(CL),M(L)","Alex Telles Sevilla, 30, D(CL),M(L)",10(9),1000,-,2,0.5,0.8,0.5,0.5,0.1,-,0.3,6.53
"196Borja MayoralGetafe, 25, FW","Borja Mayoral Getafe, 25, FW",27,2228,6,2,1.6,0.6,0.9,1.3,0.3,1.6,2.1,6.52
"197Samú CostaAlmeria, 22, M(C)","Samú Costa Almeria, 22, M(C)",14(7),1331,1,-,0.6,0.4,0.2,1.5,0.2,0.4,1,6.52
"198GumbauElche, 28, DMC","Gumbau Elche, 28, DMC",21(4),1862,-,4,1,1.6,0.1,0.6,-,0.2,0.5,6.52
"199Agustín MarchesínCelta Vigo, 35, GK","Agustín Marchesín Celta Vigo, 35, GK",19,1710,-,-,-,-,-,0.2,-,-,-,6.52
"200Gastón ÁlvarezGetafe, 23, D(L)","Gastón Álvarez Getafe, 23, D(L)",9(5),904,2,-,0.2,0.2,0.4,0.6,-,0.2,0.6,6.52
"201MonchuReal Valladolid, 23, DMC","Monchu Real Valladolid, 23, DMC",17(7),1385,1,1,1,0.8,0.3,0.7,-,0.5,0.9,6.51
"202Iván BalliuRayo Vallecano, 31, D(R),M(R)","Iván Balliu Rayo Vallecano, 31, D(R),M(R)",26,2273,-,-,0.2,1,0.3,0.9,0.2,0.3,0.6,6.51
"203Fran BeltránCelta Vigo, 24, DMC","Fran Beltrán Celta Vigo, 24, DMC",25(2),2195,-,1,0.8,0.7,0.4,0.4,0.1,0.5,0.7,6.51
"204Edu ExpósitoEspanyol, 26, M(C)","Edu Expósito Espanyol, 26, M(C)",11(10),976,2,2,0.7,0.8,0.3,1.1,-,0.5,1.0,6.51
"205Brian OcampoCadiz, 23, AM(L)","Brian Ocampo Cadiz, 23, AM(L)",15(3),1129,1,1,0.7,0.9,1.1,1.5,0.1,1.6,1.7,6.51
"206Nacho VidalOsasuna, 28, D(R)","Nacho Vidal Osasuna, 28, D(R)",12(4),1048,-,-,0.5,0.2,0.8,0.9,-,0.6,0.8,6.51
"207Paulo GazzanigaGirona, 31, GK","Paulo Gazzaniga Girona, 31, GK",17,1530,-,-,-,-,0.1,0.3,-,0.1,0.2,6.51
"208Aimar OrozOsasuna, 21, AM(C)","Aimar Oroz Osasuna, 21, AM(C)",14(7),1233,3,1,0.8,0.6,0.8,1.8,0.1,1.5,1.3,6.51
"209César de la HozAlmeria, 31, DMC","César de la Hoz Almeria, 31, DMC",13(3),1195,1,-,0.4,0.3,0.3,0.4,-,0.2,0.7,6.51
"210Martin ValjentMallorca, 27, D(C)","Martin Valjent Mallorca, 27, D(C)",20,1759,-,-,0.2,0.2,-,0.3,-,-,0.2,6.51
"211Gorka GuruzetaAthletic Bilbao, 26, FW","Gorka Guruzeta Athletic Bilbao, 26, FW",9(11),808,6,-,1.7,0.2,0.1,0.3,0.7,0.8,1.1,6.51
"212Carles PérezCelta Vigo, 25, AM(CR),FW","Carles Pérez Celta Vigo, 25, AM(CR),FW",16(10),1437,2,4,1.4,0.7,0.8,0.9,0.2,0.8,1.5,6.5
"213Leandro CabreraEspanyol, 31, D(CL)","Leandro Cabrera Espanyol, 31, D(CL)",22(1),1875,-,-,0.7,0.3,0.3,0.5,-,0.1,0.2,6.5
"214Óscar RodríguezCelta Vigo, 24, AM(CLR)","Óscar Rodríguez Celta Vigo, 24, AM(CLR)",14(10),1288,2,-,1.4,0.7,0.3,0.8,-,0.4,0.9,6.5
"215Munir El HaddadiGetafe, 27, AM(LR),FW","Munir El Haddadi Getafe, 27, AM(LR),FW",5(14),732,2,1,1.4,0.5,0.5,1.4,0.2,0.9,1.4,6.49
"216Pere MillaElche, 30, AM(CLR),FW","Pere Milla Elche, 30, AM(CLR),FW",16(5),1314,6,1,1.1,0.6,0.6,1.6,0.4,0.8,1.8,6.49
"217JuanmiReal Betis, 29, AM(CLR),FW","Juanmi Real Betis, 29, AM(CLR),FW",8(7),736,4,-,1.1,0.3,0.8,1.1,0.9,0.7,0.9,6.49
"218Ivan RakiticSevilla, 35, M(CL)","Ivan Rakitic Sevilla, 35, M(CL)",15(7),1264,1,2,1.1,0.9,-,1.0,0.1,0.5,0.7,6.49
"219Sergio AkiemeAlmeria, 25, D(L)","Sergio Akieme Almeria, 25, D(L)",25,2118,1,-,0.9,0.8,1,0.6,-,1.0,1.0,6.49
"220Aritz ElustondoReal Sociedad, 29, D(CR)","Aritz Elustondo Real Sociedad, 29, D(CR)",12(4),1031,-,1,0.4,0.3,0.1,0.5,-,0.2,0.6,6.48
"221Hugo GuillamónValencia, 23, D(C),DMC","Hugo Guillamón Valencia, 23, D(C),DMC",19(4),1587,1,4,0.2,1,-,1.4,-,0.7,0.4,6.48
"222Erik LamelaSevilla, 31, AM(CLR),FW","Erik Lamela Sevilla, 31, AM(CLR),FW",13(9),1321,4,-,1.5,0.9,0.9,0.8,0.3,1.3,1.7,6.48
"223Yunus MusahValencia, 20, AM(CR)","Yunus Musah Valencia, 20, AM(CR)",21(3),1746,-,2,0.8,0.6,0.8,1.4,0.1,0.8,1.6,6.48
"224Yangel HerreraGirona, 25, M(C)","Yangel Herrera Girona, 25, M(C)",10(6),779,2,2,1.2,0.6,0.4,1.1,0.1,1.1,1.3,6.48
"225Ángel CorreaAtletico, 28, AM(CLR),FW","Ángel Correa Atletico, 28, AM(CLR),FW",9(16),1000,6,-,1.4,0.8,0.7,0.6,0.2,0.8,1.8,6.47
"226Toni VillaGirona, 28, AM(CLR)","Toni Villa Girona, 28, AM(CLR)",9(12),775,1,2,0.8,0.6,1.1,0.9,0.3,1.0,0.9,6.47
"227Roque MesaReal Valladolid, 33, DMC","Roque Mesa Real Valladolid, 33, DMC",16(5),1293,2,1,1.0,0.8,0.6,1.1,-,0.9,0.9,6.47
"228Álvaro AguadoReal Valladolid, 26, M(C)","Álvaro Aguado Real Valladolid, 26, M(C)",13(12),1341,1,2,0.5,1,0.4,0.8,-,0.2,0.6,6.46
"229Saúl ÑíguezAtletico, 28, D(CL),M(CLR)","Saúl Ñíguez Atletico, 28, D(CL),M(CLR)",7(15),646,1,1,0.5,-,0.4,0.1,-,0.1,0.6,6.46
"230Javi HernándezGirona, 24, D(L)","Javi Hernández Girona, 24, D(L)",8(7),710,1,2,0.5,0.4,0.3,0.8,0.1,0.3,0.3,6.46
"231Kike BarjaOsasuna, 26, AM(LR)","Kike Barja Osasuna, 26, AM(LR)",8(9),727,1,2,0.4,1.0,0.9,0.6,0.3,0.8,1.2,6.46
"232Rodrigo ElyAlmeria, 29, D(C)","Rodrigo Ely Almeria, 29, D(C)",26,2258,-,-,0.6,0.1,0.1,0.4,0.1,-,0.5,6.46
"233José MoralesVillarreal, 35, D(R),M(CLR),FW","José Morales Villarreal, 35, D(R),M(CLR),FW",9(17),1071,6,-,1.4,0.3,0.6,0.4,0.3,0.4,0.8,6.46
"234Abdessamad EzzalzouliOsasuna, 21, AM(L)","Abdessamad Ezzalzouli Osasuna, 21, AM(L)",12(8),946,1,2,1.1,0.4,1.8,1.2,-,1.5,2.1,6.46
"235Ante BudimirOsasuna, 31, FW","Ante Budimir Osasuna, 31, FW",15(7),1227,2,-,1.6,0.4,0.3,0.8,0.3,1,2.2,6.46
"236Pablo IbáñezOsasuna, 24, M(C)","Pablo Ibáñez Osasuna, 24, M(C)",6(8),518,-,1,0.6,0.5,0.4,0.5,0.2,0.6,0.6,6.46
"237Edinson CavaniValencia, 36, AM(LR),FW","Edinson Cavani Valencia, 36, AM(LR),FW",15(1),1040,5,1,1.6,0.6,0.1,0.4,0.6,0.5,1.4,6.46
"238Srdjan BabicAlmeria, 26, D(C)","Srdjan Babic Almeria, 26, D(C)",23(1),2115,2,-,0.3,0.3,0.1,0.2,-,-,0.4,6.46
"239Lucas OlazaReal Valladolid, 28, D(L),M(L)","Lucas Olaza Real Valladolid, 28, D(L),M(L)",13(5),1224,-,1,0.2,0.8,0.2,0.9,0.1,0.3,0.7,6.45
"240Nemanja MaksimovicGetafe, 28, M(C)","Nemanja Maksimovic Getafe, 28, M(C)",15(3),1160,-,-,0.6,0.3,-,0.3,-,0.3,0.6,6.45
"241FaliCadiz, 29, D(C),DMC","Fali Cadiz, 29, D(C),DMC",17(2),1367,-,-,0.4,0.2,0.1,0.8,0.1,0.1,0.3,6.45
"242Nico GonzálezValencia, 21, DMC","Nico González Valencia, 21, DMC",8(8),726,1,-,0.6,0.3,1,0.4,-,0.5,0.4,6.45
"243Óscar GilEspanyol, 24, D(R)","Óscar Gil Espanyol, 24, D(R)",22(1),1787,-,1,0.3,0.4,0.6,1.2,-,0.4,1.6,6.45
"244Aihen MuñozReal Sociedad, 25, D(L)","Aihen Muñoz Real Sociedad, 25, D(L)",11(3),965,-,-,0.3,0.6,0.6,0.3,-,0.8,1.0,6.45
"245Dani GarcíaAthletic Bilbao, 32, DMC","Dani García Athletic Bilbao, 32, DMC",12(6),987,-,1,0.3,0.4,0.1,0.6,-,0.1,0.3,6.45
"246Rubén GarcíaOsasuna, 29, AM(CLR),FW","Rubén García Osasuna, 29, AM(CLR),FW",7(14),806,1,2,0.8,0.8,0.3,0.6,-,0.4,0.8,6.45
"247Yassine BounouSevilla, 31, GK","Yassine Bounou Sevilla, 31, GK",25,2064,-,-,-,-,-,-,-,-,0.2,6.44
"248Alejandro PozoAlmeria, 24, D(R),M(R)","Alejandro Pozo Almeria, 24, D(R),M(R)",13(8),1230,-,2,0.4,0.8,0.4,0.5,-,0.4,1.0,6.44
"249Miguel GutiérrezGirona, 21, D(L)","Miguel Gutiérrez Girona, 21, D(L)",20(5),1759,1,2,0.5,0.7,0.7,0.7,-,0.6,1.1,6.44
"250Andoni GorosabelReal Sociedad, 26, D(R)","Andoni Gorosabel Real Sociedad, 26, D(R)",12(5),1085,-,-,0.5,0.4,0.4,0.8,-,0.4,0.5,6.44
"251Iván MartínGirona, 24, Midfielder","Iván Martín Girona, 24, Midfielder",8(6),779,3,1,0.8,0.5,0.9,0.4,0.2,1.5,1.4,6.44
"252Javier PuadoEspanyol, 24, AM(LR),FW","Javier Puado Espanyol, 24, AM(LR),FW",17(9),1608,3,2,1.5,0.6,0.6,0.6,0.2,0.8,2.3,6.43
"253Jesús NavasSevilla, 37, D(R),M(R)","Jesús Navas Sevilla, 37, D(R),M(R)",16(7),1475,-,-,0.3,1,0.3,1.1,0.3,0.3,0.7,6.43
"254Kiko FemeníaVillarreal, 32, D(LR),M(R)","Kiko Femenía Villarreal, 32, D(LR),M(R)",10(5),902,-,-,-,0.5,0.3,0.5,-,0.4,0.4,6.43
"255Jørgen Strand LarsenCelta Vigo, 23, FW","Jørgen Strand Larsen Celta Vigo, 23, FW",15(8),1282,2,3,1.3,0.3,0.4,1.4,0.5,1,2.5,6.42
"256Francis CoquelinVillarreal, 31, M(CLR)","Francis Coquelin Villarreal, 31, M(CLR)",9(7),746,1,-,0.4,0.4,0.1,0.4,-,0.9,1.1,6.42
"257ClercElche, 31, D(L),M(L)","Clerc Elche, 31, D(L),M(L)",21(1),1749,-,1,0.4,0.5,0.7,0.9,0.1,0.5,0.8,6.42
"258Unai GarcíaOsasuna, 31, D(C)","Unai García Osasuna, 31, D(C)",17(1),1455,-,1,0.2,0.2,0.3,0.2,-,0.3,0.2,6.42
"259Luis HernándezCadiz, 33, D(CR)","Luis Hernández Cadiz, 33, D(CR)",25,2250,-,-,0.2,0.3,0.1,0.2,0.1,-,0.1,6.41
"260Stefan MitrovicGetafe, 32, D(C)","Stefan Mitrovic Getafe, 32, D(C)",12(3),1129,-,-,0.1,-,-,0.2,-,-,0.1,6.41
"261Nicolas JacksonVillarreal, 21, FW","Nicolas Jackson Villarreal, 21, FW",8(8),824,3,2,1.1,0.5,0.5,0.8,0.4,1.4,2.1,6.41
"262Álvaro NegredoCadiz, 37, FW","Álvaro Negredo Cadiz, 37, FW",8(7),617,1,2,0.9,0.5,0.3,0.5,0.3,0.4,1.0,6.41
"263Toni LatoValencia, 25, D(L),M(L)","Toni Lato Valencia, 25, D(L),M(L)",6(10),650,1,-,0.4,0.7,0.2,0.4,0.3,0.1,0.4,6.41
"264Óscar MinguezaCelta Vigo, 23, D(CR)","Óscar Mingueza Celta Vigo, 23, D(CR)",12(6),1145,-,-,0.3,0.6,0.5,0.3,0.1,0.6,1.0,6.4
"265Fernando CaleroEspanyol, 27, D(C)","Fernando Calero Espanyol, 27, D(C)",15(4),1233,-,-,0.3,0.2,0.1,0.4,0.1,0.2,0.5,6.4
"266Juan CruzOsasuna, 30, D(CL)","Juan Cruz Osasuna, 30, D(CL)",18(2),1622,-,-,0.1,0.7,0.3,0.4,0.1,0.2,0.8,6.4
"267Luca de la TorreCelta Vigo, 24, M(CL)","Luca de la Torre Celta Vigo, 24, M(CL)",10(8),829,-,2,0.5,0.6,0.4,0.3,0.1,0.4,1.1,6.4
"268Sergi GómezEspanyol, 31, D(CR)","Sergi Gómez Espanyol, 31, D(CR)",18(3),1681,-,-,0.3,0.1,-,0.2,-,-,0.2,6.39
"269Pathé CissRayo Vallecano, 29, DMC","Pathé Ciss Rayo Vallecano, 29, DMC",10(14),1037,1,-,0.8,0.2,0.1,0.4,-,0.3,0.4,6.39
"270Iddrisu BabaMallorca, 27, DMC","Iddrisu Baba Mallorca, 27, DMC",15(5),1236,-,-,0.5,0.3,0.5,1.2,-,0.8,1.1,6.38
"271Ilaix MoribaValencia, 20, M(C)","Ilaix Moriba Valencia, 20, M(C)",8(11),771,-,1,0.9,0.5,0.6,1.3,-,0.5,1.1,6.38
"272Álex FernándezCadiz, 30, M(CL),FW","Álex Fernández Cadiz, 30, M(CL),FW",16(7),1425,3,-,0.7,0.6,0.1,0.6,-,1.0,0.7,6.38
"273ChumiAlmeria, 24, D(C)","Chumi Almeria, 24, D(C)",11(5),1105,1,-,0.1,-,0.3,0.2,-,0.4,0.5,6.38
"274Joan JordánSevilla, 28, M(C)","Joan Jordán Sevilla, 28, M(C)",18(3),1499,-,1,0.6,0.3,0.2,0.6,-,0.2,0.7,6.37
"275Alberto MorenoVillarreal, 30, D(L),M(L)","Alberto Moreno Villarreal, 30, D(L),M(L)",10(5),866,-,-,0.5,0.6,0.3,0.3,0.1,0.1,0.7,6.37
"276Unai LópezRayo Vallecano, 27, M(CR)","Unai López Rayo Vallecano, 27, M(CR)",9(16),931,1,2,0.8,0.6,0.3,0.6,-,0.8,0.9,6.36
"277Raúl GarcíaAthletic Bilbao, 36, M(CLR),FW","Raúl García Athletic Bilbao, 36, M(CLR),FW",5(21),717,2,2,1.4,0.2,0.2,0.6,0.3,0.2,0.3,6.36
"278Darko BrasanacOsasuna, 31, M(CR)","Darko Brasanac Osasuna, 31, M(CR)",8(16),999,1,1,0.4,0.3,0.2,0.6,0.1,0.4,0.8,6.35
"279Gabriel PaulistaValencia, 32, D(CR)","Gabriel Paulista Valencia, 32, D(CR)",11(3),878,1,-,0.8,0.3,-,0.6,-,0.1,0.3,6.35
"280Tanguy NianzouSevilla, 20, D(C)","Tanguy Nianzou Sevilla, 20, D(C)",15(2),1235,1,-,0.4,0.1,0.6,0.6,-,0.2,0.2,6.34
"281Cristhian StuaniGirona, 36, AM(CLR),FW","Cristhian Stuani Girona, 36, AM(CLR),FW",5(17),706,7,-,1.2,0.3,-,0.7,0.2,0.2,0.5,6.34
"282Johan MojicaVillarreal, 30, D(L),M(L)","Johan Mojica Villarreal, 30, D(L),M(L)",5(9),607,-,-,0.1,0.6,0.4,0.9,-,0.4,0.6,6.34
"283Largie RamazaniAlmeria, 22, FW","Largie Ramazani Almeria, 22, FW",12(12),1214,3,-,1.4,0.5,1.1,0.5,0.4,0.8,1.4,6.34
"284Helibelton PalaciosElche, 29, D(CR)","Helibelton Palacios Elche, 29, D(CR)",20(1),1696,-,-,0.2,0.3,0.6,0.7,-,0.3,0.4,6.33
"285Franck KessiéBarcelona, 26, M(C)","Franck Kessié Barcelona, 26, M(C)",4(15),617,1,1,0.5,0.3,0.3,0.6,0.1,0.4,0.9,6.33
"286Pedro BigasElche, 32, D(CL)","Pedro Bigas Elche, 32, D(CL)",18(3),1537,-,-,0.8,-,0.2,0.6,-,0.2,0.4,6.33
"287Jon MoncayolaOsasuna, 24, D(R),M(C)","Jon Moncayola Osasuna, 24, D(R),M(C)",18(9),1750,-,-,1.2,0.5,0.1,0.4,0.1,0.3,0.8,6.33
"288Valery FernándezGirona, 23, D(R),M(L)","Valery Fernández Girona, 23, D(R),M(L)",5(13),661,-,2,0.2,0.8,0.3,0.6,0.2,0.5,0.8,6.32
"289Carles AleñáGetafe, 25, AM(CLR)","Carles Aleñá Getafe, 25, AM(CLR)",20(5),1609,2,2,0.9,0.5,0.7,1.6,0.1,0.9,1.4,6.31
"290Carlos FernándezReal Sociedad, 26, AM(C),FW","Carlos Fernández Real Sociedad, 26, AM(C),FW",6(9),406,1,-,0.9,0.3,0.7,0.7,0.4,0.3,0.8,6.31
"291Renato TapiaCelta Vigo, 27, D(C),DMC","Renato Tapia Celta Vigo, 27, D(C),DMC",9(10),847,-,-,0.4,0.4,0.3,0.6,-,0.4,0.4,6.31
"292Rafa MirSevilla, 25, FW","Rafa Mir Sevilla, 25, FW",10(6),815,3,-,2.1,0.4,-,0.5,0.8,0.4,1.1,6.29
"293Lucas PérezCadiz, 34, AM(CR),FW","Lucas Pérez Cadiz, 34, AM(CR),FW",5(9),623,3,-,1.2,0.3,0.3,0.3,0.4,0.6,0.8,6.29
"294Amath NdiayeMallorca, 26, AM(L)","Amath Ndiaye Mallorca, 26, AM(L)",3(15),577,1,-,0.7,0.1,0.3,0.5,0.2,0.7,1.3,6.28
"295PortuGetafe, 30, M(CLR),FW","Portu Getafe, 30, M(CLR),FW",11(13),1169,-,2,0.5,0.8,0.4,0.7,0.3,0.2,1.0,6.28
"296Tete MorenteElche, 26, M(CLR)","Tete Morente Elche, 26, M(CLR)",12(9),1145,1,-,0.9,0.3,0.5,0.8,0.2,0.6,1.2,6.28
"297Anthony LozanoCadiz, 29, AM(L),FW","Anthony Lozano Cadiz, 29, AM(L),FW",12(10),1201,-,-,1.1,0.4,0.6,1.2,0.3,1.4,2.3,6.28
"298Íñigo EguarasAlmeria, 31, DMC","Íñigo Eguaras Almeria, 31, DMC",10(9),843,1,1,0.4,0.6,0.2,0.3,-,0.2,0.4,6.27
"299Francisco PortilloAlmeria, 32, M(CLR)","Francisco Portillo Almeria, 32, M(CLR)",2(15),404,2,-,0.2,0.2,0.3,0.1,0.1,0.5,0.4,6.27
"300Sergio LeónReal Valladolid, 34, FW","Sergio León Real Valladolid, 34, FW",13(10),1139,5,1,1.0,0.4,0.2,0.8,0.7,0.7,1.6,6.26
"301Clément GrenierMallorca, 32, M(CL)","Clément Grenier Mallorca, 32, M(CL)",6(9),608,-,-,0.2,0.6,0.2,0.9,-,0.3,1.0,6.26
"302Dimitri FoulquierValencia, 30, D(CLR),M(R)","Dimitri Foulquier Valencia, 30, D(CLR),M(R)",11(9),1109,-,1,0.1,0.3,0.4,0.3,0.1,0.3,1.2,6.26
"303Ezequiel PonceElche, 26, AM(L),FW","Ezequiel Ponce Elche, 26, AM(L),FW",8(18),1029,3,-,1.0,0.3,0.2,0.3,0.3,1.1,1.1,6.26
"304José MariCadiz, 35, DMC","José Mari Cadiz, 35, DMC",2(12),327,-,-,0.2,0.4,0.2,0.5,-,0.5,0.4,6.25
"305Fede San EmeterioCadiz, 26, DMC","Fede San Emeterio Cadiz, 26, DMC",16(7),1251,-,-,0.2,0.1,-,0.7,-,0.2,0.3,6.25
"306Kike GarcíaOsasuna, 33, FW","Kike García Osasuna, 33, FW",5(22),753,2,-,1.2,0.4,0.3,0.7,0.1,0.6,1.6,6.25
"307Ángel AlgobiaGetafe, 23, M(C)","Ángel Algobia Getafe, 23, M(C)",11(9),1021,-,-,0.3,0.2,0.2,0.5,-,0.3,0.6,6.24
"308Bernardo EspinosaGirona, 33, D(C)","Bernardo Espinosa Girona, 33, D(C)",10(4),846,-,1,0.4,0.1,0.1,0.4,-,0.3,0.2,6.24
"309FidelElche, 33, M(CLR)","Fidel Elche, 33, M(CLR)",11(6),964,1,1,0.5,0.9,0.9,0.8,0.4,0.9,1.4,6.23
"310Aleix VidalEspanyol, 33, D(R),M(LR)","Aleix Vidal Espanyol, 33, D(R),M(LR)",10(10),900,-,1,0.2,0.5,0.3,0.8,0.1,0.4,0.7,6.22
